rank,symbol,asof_month_traded_value
734,SARDAEN,130744160.35
735,IBULISL,128801357.55
736,JPPOWER,127483378.3
737,RICOAUTO,127051570.6
738,GANECOS,127039004.75
739,LUMAXIND,125228575.0
740,ZEELEARN,124956354.45
741,VINDHYATEL,124639457.95
742,SUBEX,124629673.2
743,JINDALPOLY,123497296.45
744,DLINKINDIA,123367555.4
745,BORORENEW,122950892.0
746,NEOGEN,122827228.7
747,MANINDS,121641349.35
748,LINCOLN,121440850.4
749,SSWL,119870691.6
750,TVSSRICHAK,119621031.55
