symbol,status,relative_points,note
DEVYANI,skipped,50,analysis: unchanged; comparison: unchanged
DIACABS,skipped,100,analysis: unchanged; comparison: unchanged
DIVISLAB,skipped,46,analysis: unchanged; comparison: unchanged
DIXON,skipped,86,analysis: unchanged; comparison: unchanged
DLF,skipped,46,analysis: unchanged; comparison: unchanged
DMART,skipped,61,analysis: unchanged; comparison: unchanged
DOMS,skipped,75,analysis: unchanged; comparison: unchanged
DRREDDY,skipped,19,analysis: unchanged; comparison: unchanged
DYNAMATECH,skipped,14,analysis: unchanged; comparison: unchanged
ECLERX,skipped,62,analysis: unchanged; comparison: unchanged
EDELWEISS,skipped,28,analysis: unchanged; comparison: unchanged
EICHERMOT,skipped,75,analysis: unchanged; comparison: unchanged
EIDPARRY,skipped,54,analysis: unchanged; comparison: unchanged
EIEL,skipped,83,analysis: unchanged; comparison: unchanged
EIHOTEL,skipped,62,analysis: unchanged; comparison: unchanged
ELECON,skipped,73,analysis: unchanged; comparison: unchanged
ELECTCAST,skipped,0,analysis: unchanged; comparison: unchanged
ELGIEQUIP,skipped,69,analysis: unchanged; comparison: unchanged
ELLEN,skipped,89,analysis: unchanged; comparison: unchanged
EMAMILTD,skipped,15,analysis: unchanged; comparison: unchanged
EMBDL,updated,50,analysis: unchanged; comparison: 26/32 → 28/32
EMCURE,skipped,68,analysis: unchanged; comparison: unchanged
EMIL,skipped,25,analysis: unchanged; comparison: unchanged
EMMVEE,skipped,100,analysis: unchanged; comparison: unchanged
ENDURANCE,skipped,61,analysis: unchanged; comparison: unchanged
ENGINERSIN,skipped,67,analysis: unchanged; comparison: unchanged
ENRIN,no-relative,,analysis: unchanged; comparison: unchanged
ENTERO,skipped,94,analysis: unchanged; comparison: unchanged
EPL,skipped,41,analysis: unchanged; comparison: unchanged
EQUITASBNK,skipped,0,analysis: unchanged; comparison: unchanged
ERIS,skipped,77,analysis: unchanged; comparison: unchanged
ESCORTS,skipped,77,analysis: unchanged; comparison: unchanged
ETERNAL,skipped,69,analysis: unchanged; comparison: unchanged
ETHOSLTD,skipped,71,analysis: unchanged; comparison: unchanged
EUREKAFORB,skipped,75,analysis: unchanged; comparison: unchanged
EXIDEIND,skipped,25,analysis: unchanged; comparison: unchanged
FACT,skipped,38,analysis: unchanged; comparison: unchanged
FEDERALBNK,skipped,69,analysis: unchanged; comparison: unchanged
FEDFINA,skipped,96,analysis: unchanged; comparison: unchanged
FIEMIND,skipped,81,analysis: unchanged; comparison: unchanged
FINCABLES,skipped,29,analysis: unchanged; comparison: unchanged
FINPIPE,skipped,38,analysis: unchanged; comparison: unchanged
FIRSTCRY,skipped,75,analysis: unchanged; comparison: unchanged
FIVESTAR,skipped,67,analysis: unchanged; comparison: unchanged
FLUOROCHEM,skipped,41,analysis: unchanged; comparison: unchanged
FORCEMOT,skipped,100,analysis: unchanged; comparison: unchanged
FORTIS,skipped,91,analysis: unchanged; comparison: unchanged
FSL,skipped,56,analysis: unchanged; comparison: unchanged
GABRIEL,skipped,88,analysis: unchanged; comparison: unchanged
GAEL,skipped,25,analysis: unchanged; comparison: unchanged
GAIL,skipped,31,analysis: unchanged; comparison: unchanged
