date,symbol,event
2015-11-09,UCOBANK,"SELL ₹8.99 at stop ₹45.79 (-9.0%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-11-13,CADILAHC,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.53× weekly, month 1.67×, ladder rising)"
2015-11-13,JETAIRWAYS,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.51× weekly, month 2.68×, ladder rising)"
2015-11-13,SREINFRA,RAISE STOP ₹32.22 → ₹36.95 (new box ₹39.10–₹46.25 sealed)
2015-11-13,UBHOLDINGS,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.13× weekly, month 2.09×, ladder rising)"
2015-11-16,RADICO,"BUY ₹11.14 at ₹121.80 (fresh Friday signal — BUY: 3.01× weekly, month 2.77×, ladder rising; stop ₹93.88; charges ₹0.01)"
2015-11-16,TRIVENI,"BUY ₹6.54 at ₹30.75 (fresh Friday signal — ACCUMULATE: 2.71× weekly, month 4.44×, ladder rising; stop ₹21.99; charges ₹0.01)"
2015-11-20,ECLERX,"RAISE STOP ₹1,548.50 → ₹1,619.75 (new box ₹1,705.00–₹1,930.00 sealed)"
2015-11-20,UNICHEMLAB,RAISE STOP ₹233.99 → ₹235.30 (new box ₹258.10–₹334.10 sealed)
2015-11-26,JINDALPOLY,"SELL ₹13.71 at stop ₹494.38 (+31.2%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-11-27,AJMERA,"fresh signal NOT FUNDED — cash exhausted (BUY: 5.77× weekly, month 1.55×, ladder rising)"
2015-11-27,BALAJITELE,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.62× weekly, month 1.61×, ladder rising)"
2015-11-27,FSL,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.79× weekly, month 2.76×, ladder rising)"
2015-11-27,GODFRYPHLP,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.71× weekly, month 7.91×, ladder rising)"
2015-11-27,JETAIRWAYS,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.83× weekly, month 2.79×, ladder rising)"
2015-11-27,KOPRAN,"fresh signal NOT FUNDED — cash exhausted (BUY: 4.61× weekly, month 2.23×, ladder rising)"
2015-11-27,NELCO,"fresh signal NOT FUNDED — cash exhausted (BUY: 11.41× weekly, month 3.77×, ladder rising)"
2015-11-27,PETRONET,"fresh signal NOT FUNDED — cash exhausted (BUY: 4.52× weekly, month 1.83×, ladder rising)"
