nse_symbol,status
CUB,"ok:standalone:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=2,Cash from Financing Activity=5"
CUMMINSIND,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=9,Cash from Financing Activity=6"
CUPID,"ok:consolidated:headline=6:cols=4;schedules=Cash from Operating Activity=8,Cash from Investing Activity=5,Cash from Financing Activity=7"
CYIENT,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=11,Cash from Financing Activity=8"
DABUR,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=7,Cash from Financing Activity=7"
DALBHARAT,"ok:consolidated:headline=6:cols=10;schedules=Cash from Operating Activity=7,Cash from Investing Activity=9,Cash from Financing Activity=7"
DATAMATICS,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=8"
DATAPATTNS,"ok:standalone:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=6,Cash from Financing Activity=7"
DBL,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=7,Cash from Financing Activity=7"
DBREALTY,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=11,Cash from Investing Activity=11,Cash from Financing Activity=6"
DCBBANK,"ok:standalone:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=3,Cash from Financing Activity=5"
DCMSHRIRAM,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=6"
DEEPAKFERT,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=10,Cash from Financing Activity=9"
DEEPAKNTR,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=8"
DELHIVERY,"ok:consolidated:headline=6:cols=8;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=6"
DEVYANI,"ok:consolidated:headline=6:cols=11;schedules=Cash from Operating Activity=9,Cash from Investing Activity=7,Cash from Financing Activity=7"
DIACABS,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=5,Cash from Financing Activity=9"
DIVISLAB,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=7,Cash from Financing Activity=6"
DIXON,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=11,Cash from Financing Activity=7"
DLF,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=10,Cash from Investing Activity=9,Cash from Financing Activity=9"
DMART,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=10,Cash from Financing Activity=10"
DOMS,"ok:consolidated:headline=6:cols=7;schedules=Cash from Operating Activity=9,Cash from Investing Activity=7,Cash from Financing Activity=7"
DRREDDY,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=9,Cash from Financing Activity=7"
DYNAMATECH,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=7,Cash from Financing Activity=8"
