horizon,signal,hit_rate_pct,nse_symbol,industry,base_year_T,fy_label,stock_price_at_T,forward_cagr_pct,met_target
5y,FA > 20% YoY for 4 yrs,64.3,DMART,CONSUMER GOODS,2019,Mar 2019,1472.5,25.2,Y
5y,FA > 20% YoY for 4 yrs,64.3,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,21.4,Y
5y,FA > 20% YoY for 4 yrs,64.3,BRIGADE,CONSTRUCTION,2021,Mar 2021,277.85,18.6,N
5y,FA > 20% YoY for 4 yrs,64.3,GLAXO,PHARMA,2020,Mar 2020,1257.4,18.0,N
5y,FA > 20% YoY for 4 yrs,64.3,DMART,CONSUMER GOODS,2020,Mar 2020,2187.5,13.3,N
5y,FA > 20% YoY for 4 yrs,64.3,GLAXO,PHARMA,2019,Mar 2019,1296.55,8.5,N
5y,FA > 20% YoY for 4 yrs,64.3,NATCOPHARM,PHARMA,2021,Mar 2021,825.55,3.4,N
5y,FA > 25% YoY for 3 yrs,60.0,GRAVITA,,2020,Mar 2020,33.45,122.7,Y
5y,FA > 25% YoY for 3 yrs,60.0,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,79.1,Y
5y,FA > 25% YoY for 3 yrs,60.0,GRAVITA,,2019,Mar 2019,82.0,64.9,Y
5y,FA > 25% YoY for 3 yrs,60.0,ZENSARTECH,IT,2020,Mar 2020,88.0,51.4,Y
5y,FA > 25% YoY for 3 yrs,60.0,BRIGADE,CONSTRUCTION,2020,Mar 2020,130.15,49.6,Y
5y,FA > 25% YoY for 3 yrs,60.0,UNOMINDA,,2020,Mar 2020,119.6,48.9,Y
5y,FA > 25% YoY for 3 yrs,60.0,PRESTIGE,CONSTRUCTION,2020,Mar 2020,168.2,47.8,Y
5y,FA > 25% YoY for 3 yrs,60.0,BRIGADE,CONSTRUCTION,2019,Mar 2019,161.83,42.0,Y
5y,FA > 25% YoY for 3 yrs,60.0,PRESTIGE,CONSTRUCTION,2019,Mar 2019,250.7,36.1,Y
5y,FA > 25% YoY for 3 yrs,60.0,UNOMINDA,,2019,Mar 2019,167.11,32.6,Y
5y,FA > 25% YoY for 3 yrs,60.0,BAJFINANCE,FINANCIAL SERVICES,2020,Mar 2020,221.58,32.2,Y
5y,FA > 25% YoY for 3 yrs,60.0,LTM,,2020,Mar 2020,1428.85,25.7,Y
5y,FA > 25% YoY for 3 yrs,60.0,360ONE,,2021,Mar 2021,309.85,25.1,Y
5y,FA > 25% YoY for 3 yrs,60.0,UNOMINDA,,2018,Mar 2018,176.88,22.1,Y
5y,FA > 25% YoY for 3 yrs,60.0,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,21.4,Y
5y,FA > 25% YoY for 3 yrs,60.0,BAJFINANCE,FINANCIAL SERVICES,2019,Mar 2019,299.58,19.3,N
5y,FA > 25% YoY for 3 yrs,60.0,LICHSGFIN,FINANCIAL SERVICES,2020,Mar 2020,235.3,19.1,N
5y,FA > 25% YoY for 3 yrs,60.0,BRIGADE,CONSTRUCTION,2021,Mar 2021,277.85,18.6,N
5y,FA > 25% YoY for 3 yrs,60.0,GLAXO,PHARMA,2020,Mar 2020,1257.4,18.0,N
5y,FA > 25% YoY for 3 yrs,60.0,DMART,CONSUMER GOODS,2020,Mar 2020,2187.5,13.3,N
5y,FA > 25% YoY for 3 yrs,60.0,GLAXO,PHARMA,2019,Mar 2019,1296.55,8.5,N
5y,FA > 25% YoY for 3 yrs,60.0,AFFLE,,2021,Mar 2021,1091.56,5.8,N
5y,FA > 25% YoY for 3 yrs,60.0,AJANTPHARM,PHARMA,2018,Mar 2018,926.9,5.5,N
5y,FA > 25% YoY for 3 yrs,60.0,GLAXO,PHARMA,2018,Mar 2018,1043.88,4.9,N
5y,FA > 25% YoY for 3 yrs,60.0,INOXWIND,INDUSTRIAL MANUFACTURING,2018,Mar 2018,27.12,-3.0,N
5y,FA > 30% YoY for 3 yrs,81.8,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,79.1,Y
5y,FA > 30% YoY for 3 yrs,81.8,ZENSARTECH,IT,2020,Mar 2020,88.0,51.4,Y
5y,FA > 30% YoY for 3 yrs,81.8,UNOMINDA,,2020,Mar 2020,119.6,48.9,Y
5y,FA > 30% YoY for 3 yrs,81.8,PRESTIGE,CONSTRUCTION,2020,Mar 2020,168.2,47.8,Y
5y,FA > 30% YoY for 3 yrs,81.8,PRESTIGE,CONSTRUCTION,2019,Mar 2019,250.7,36.1,Y
5y,FA > 30% YoY for 3 yrs,81.8,UNOMINDA,,2019,Mar 2019,167.11,32.6,Y
5y,FA > 30% YoY for 3 yrs,81.8,360ONE,,2021,Mar 2021,309.85,25.1,Y
5y,FA > 30% YoY for 3 yrs,81.8,UNOMINDA,,2018,Mar 2018,176.88,22.1,Y
5y,FA > 30% YoY for 3 yrs,81.8,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,21.4,Y
5y,FA > 30% YoY for 3 yrs,81.8,AFFLE,,2021,Mar 2021,1091.56,5.8,N
5y,FA > 30% YoY for 3 yrs,81.8,AJANTPHARM,PHARMA,2018,Mar 2018,926.9,5.5,N
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,BLS,,2020,Mar 2020,7.29,122.6,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,OLECTRA,,2020,Mar 2020,49.2,88.4,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,USHAMART,,2021,Mar 2021,33.05,63.9,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,KEI,INDUSTRIAL MANUFACTURING,2020,Mar 2020,268.35,60.9,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,KEI,INDUSTRIAL MANUFACTURING,2021,Mar 2021,522.7,50.5,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,OLECTRA,,2019,Mar 2019,253.45,49.4,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,POLYCAB,,2020,Mar 2020,742.05,47.3,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,POLYCAB,,2021,Mar 2021,1379.55,37.8,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,ESCORTS,AUTOMOBILE,2020,Mar 2020,662.6,37.4,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,AMBER,,2019,Mar 2019,805.15,35.4,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,OLECTRA,,2021,Mar 2021,217.3,34.8,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,DIXON,CONSUMER GOODS,2018,Mar 2018,658.21,34.2,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,CHALET,,2020,Mar 2020,205.15,31.9,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,TEJASNET,,2019,Mar 2019,168.9,31.2,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,PIIND,FERTILISERS & PESTICIDES,2019,Mar 2019,1025.55,30.4,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,LTTS,IT,2019,Mar 2019,1544.85,28.8,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,PIIND,FERTILISERS & PESTICIDES,2018,Mar 2018,885.2,27.9,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,TATACHEM,CHEMICALS,2018,Mar 2018,298.55,26.6,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,TATACOMM,,2018,Mar 2018,385.05,26.5,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,DMART,CONSUMER GOODS,2019,Mar 2019,1472.5,25.2,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,UNITDSPR,,2020,Mar 2020,484.6,23.7,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,APLAPOLLO,METALS,2021,Mar 2021,700.42,22.6,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,LTTS,IT,2018,Mar 2018,1235.6,22.3,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,ATUL,CHEMICALS,2018,Mar 2018,2613.4,21.6,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,CHALET,,2019,Mar 2019,338.8,21.1,Y
5y,Reserves CAGR > 25% AND Borrowings CAGR < -10%,61.9,DMART,CONSUMER GOODS,2018,Mar 2018,1324.8,20.8,Y
