nse_symbol,market_cap_rs_cr,current_price_rs,stock_pe,fetched_at,status
LEMONTREE,8659.0,109.0,34.9,2026-08-02T12:14:21Z,ok
LENSKART,97612.0,561.0,210.0,2026-08-02T12:14:21Z,ok
LICI,537245.0,425.0,9.35,2026-08-02T12:14:21Z,ok
LINDEINDIA,57521.0,6745.0,105.0,2026-08-02T12:14:21Z,ok
LLOYDSME,115227.0,2047.0,31.0,2026-08-02T12:14:21Z,ok
LODHA,124287.0,1244.0,30.1,2026-08-02T12:14:21Z,ok
LUPIN,110422.0,2415.0,19.4,2026-08-02T12:14:21Z,ok
MMTC,9399.0,62.7,94.0,2026-08-02T12:14:21Z,ok
MRF,56310.0,132770.0,22.8,2026-08-02T12:14:21Z,ok
MGL,11068.0,1120.0,15.5,2026-08-02T12:14:21Z,ok
M&MFIN,53618.0,386.0,16.0,2026-08-02T12:14:21Z,ok
M&M,422613.0,3398.0,22.0,2026-08-02T12:14:21Z,ok
MANAPPURAM,34929.0,372.0,35.2,2026-08-02T12:14:21Z,ok
MRPL,29784.0,170.0,10.7,2026-08-02T12:14:21Z,ok
MANKIND,101993.0,2470.0,47.8,2026-08-02T12:14:21Z,ok
MARICO,113044.0,871.0,64.5,2026-08-02T12:14:21Z,ok
MARUTI,447521.0,14234.0,31.2,2026-08-02T12:14:21Z,ok
MFSL,51733.0,1499.0,646.0,2026-08-02T12:14:21Z,ok
MAXHEALTH,106911.0,1098.0,72.1,2026-08-02T12:14:21Z,ok
MAZDOCK,96077.0,2382.0,33.6,2026-08-02T12:14:21Z,ok
MEESHO,84215.0,182.0,,2026-08-02T12:14:21Z,ok
MINDACORP,16758.0,701.0,47.1,2026-08-02T12:14:21Z,ok
MSUMI,26931.0,40.6,43.1,2026-08-02T12:14:21Z,ok
MOTILALOFS,51300.0,852.0,25.9,2026-08-02T12:14:21Z,ok
MPHASIS,44708.0,2342.0,23.1,2026-08-02T12:14:21Z,ok
MCX,68649.0,2692.0,51.6,2026-08-02T12:14:21Z,ok
MUTHOOTFIN,125242.0,3120.0,11.0,2026-08-02T12:14:21Z,ok
NATCOPHARM,16424.0,917.0,11.6,2026-08-02T12:14:21Z,ok
NBCC,25596.0,94.8,38.7,2026-08-02T12:14:21Z,ok
NCC,8858.0,141.0,12.7,2026-08-02T12:14:21Z,ok
NHPC,79085.0,78.7,21.0,2026-08-02T12:14:21Z,ok
NLCINDIA,41308.0,298.0,11.7,2026-08-02T12:14:21Z,ok
