nse_symbol,year,line_item,parent_line_item,value
3MINDIA,Mar 2024,Profit for PE,Net Profit,583.0
3MINDIA,Mar 2018,Profit for EPS,Net Profit,333.0
3MINDIA,Mar 2019,Profit for EPS,Net Profit,366.0
3MINDIA,Mar 2020,Profit for EPS,Net Profit,322.0
3MINDIA,Mar 2021,Profit for EPS,Net Profit,162.0
3MINDIA,Mar 2022,Profit for EPS,Net Profit,272.0
3MINDIA,Mar 2023,Profit for EPS,Net Profit,451.0
3MINDIA,Mar 2024,Profit for EPS,Net Profit,583.0
3MINDIA,Mar 2018,Profit Growth %,Net Profit,
3MINDIA,Mar 2019,Profit Growth %,Net Profit,10.0
3MINDIA,Mar 2020,Profit Growth %,Net Profit,-12.0
3MINDIA,Mar 2021,Profit Growth %,Net Profit,-50.0
3MINDIA,Mar 2022,Profit Growth %,Net Profit,68.0
3MINDIA,Mar 2023,Profit Growth %,Net Profit,66.0
3MINDIA,Mar 2024,Profit Growth %,Net Profit,29.0
ABLBL,Mar 2025,Sales,,7830.0
ABLBL,Mar 2026,Sales,,8396.0
ABLBL,Mar 2025,Expenses,,6607.0
ABLBL,Mar 2026,Expenses,,7052.0
ABLBL,Mar 2025,Operating Profit,,1223.0
ABLBL,Mar 2026,Operating Profit,,1344.0
ABLBL,Mar 2025,OPM %,,16.0
ABLBL,Mar 2026,OPM %,,16.0
ABLBL,Mar 2025,Other Income,,-21.0
ABLBL,Mar 2026,Other Income,,36.0
ABLBL,Mar 2025,Interest,,413.0
ABLBL,Mar 2026,Interest,,364.0
ABLBL,Mar 2025,Depreciation,,706.0
ABLBL,Mar 2026,Depreciation,,795.0
ABLBL,Mar 2025,Profit before tax,,83.0
ABLBL,Mar 2026,Profit before tax,,220.0
ABLBL,Mar 2025,Tax %,,29.0
ABLBL,Mar 2026,Tax %,,22.0
ABLBL,Mar 2025,Net Profit,,60.0
ABLBL,Mar 2026,Net Profit,,171.0
ABLBL,Mar 2025,EPS in Rs,,1.4
ABLBL,Mar 2026,EPS in Rs,,
ABLBL,Mar 2025,Dividend Payout %,,0.0
ABLBL,Mar 2026,Dividend Payout %,,36.0
ABLBL,Mar 2025,Sales Growth %,Sales,
ABLBL,Mar 2026,Sales Growth %,Sales,7.23
ABLBL,Mar 2025,Material Cost %,Expenses,41.79
ABLBL,Mar 2026,Material Cost %,Expenses,40.49
ABLBL,Mar 2025,Manufacturing Cost %,Expenses,9.83
ABLBL,Mar 2026,Manufacturing Cost %,Expenses,0.0
ABLBL,Mar 2025,Employee Cost %,Expenses,11.73
ABLBL,Mar 2026,Employee Cost %,Expenses,11.21
ABLBL,Mar 2025,Other Cost %,Expenses,21.03
ABLBL,Mar 2026,Other Cost %,Expenses,32.29
ABLBL,Mar 2025,Exceptional items,Other Income,-91.0
ABLBL,Mar 2026,Exceptional items,Other Income,-49.0
ABLBL,Mar 2025,Other income normal,Other Income,71.0
ABLBL,Mar 2026,Other income normal,Other Income,85.0
ABLBL,Mar 2025,Exceptional items AT,Net Profit,-65.0
ABLBL,Mar 2026,Exceptional items AT,Net Profit,-38.0
ABLBL,Mar 2025,Profit excl Excep,Net Profit,125.0
ABLBL,Mar 2026,Profit excl Excep,Net Profit,209.0
