nse_symbol,isin_source,name_source
JSL,groww_master,nifty500_master
JSLL,groww_master,groww_master
JSWCEMENT,groww_master,nifty500_master
JSWDULUX,groww_master,nifty500_master
JSWENERGY,groww_master,nifty500_master
JSWINFRA,groww_master,nifty500_master
JSWSTEEL,groww_master,nifty500_master
JUBLFOOD,groww_master,nifty500_master
JUBLINGREA,groww_master,nifty500_master
JUBLPHARMA,groww_master,nifty500_master
JUSTDIAL,groww_master,groww_master
JWL,groww_master,nifty500_master
JYOTHYLAB,groww_master,groww_master
JYOTICNC,groww_master,nifty500_master
KAJARIACER,groww_master,nifty500_master
KALYANKJIL,groww_master,nifty500_master
KANSAINER,groww_master,groww_master
KARURVYSYA,groww_master,nifty500_master
KAYNES,groww_master,nifty500_master
KEC,groww_master,nifty500_master
KEI,groww_master,nifty500_master
KFINTECH,groww_master,nifty500_master
KIMS,groww_master,nifty500_master
KIRLOSBROS,groww_master,groww_master
KIRLOSENG,groww_master,nifty500_master
KIRLPNU,groww_master,groww_master
KITEX,groww_master,groww_master
KNRCON,groww_master,groww_master
KOTAKBANK,groww_master,nifty500_master
KPIGREEN,groww_master,groww_master
KPIL,groww_master,nifty500_master
KPITTECH,groww_master,nifty500_master
KPRMILL,groww_master,nifty500_master
KRBL,groww_master,groww_master
KRN,groww_master,groww_master
KSB,groww_master,groww_master
KSCL,groww_master,groww_master
KTKBANK,groww_master,groww_master
LALPATHLAB,groww_master,nifty500_master
LATENTVIEW,groww_master,nifty500_master
LAURUSLABS,groww_master,nifty500_master
LEMONTREE,groww_master,nifty500_master
LENSKART,groww_master,nifty500_master
LGEINDIA,groww_master,nifty500_master
LICHSGFIN,groww_master,nifty500_master
LICI,groww_master,nifty500_master
LINDEINDIA,groww_master,nifty500_master
LLOYDSENGG,groww_master,groww_master
LLOYDSENT,groww_master,groww_master
LLOYDSME,groww_master,nifty500_master
LODHA,groww_master,nifty500_master
LOTUSDEV,groww_master,groww_master
LT,groww_master,nifty500_master
LTF,groww_master,nifty500_master
LTFOODS,groww_master,nifty500_master
LTM,groww_master,nifty500_master
LTTS,groww_master,nifty500_master
LUMAXTECH,groww_master,groww_master
LUPIN,groww_master,nifty500_master
LXCHEM,groww_master,groww_master
MAHABANK,groww_master,nifty500_master
MAHSCOOTER,groww_master,groww_master
MAHSEAMLES,groww_master,groww_master
MANAPPURAM,groww_master,nifty500_master
MANKIND,groww_master,nifty500_master
MANORAMA,groww_master,groww_master
MANYAVAR,groww_master,groww_master
MAPMYINDIA,groww_master,nifty500_master
MARICO,groww_master,nifty500_master
MARKSANS,groww_master,groww_master
MARUTI,groww_master,nifty500_master
MASTEK,groww_master,groww_master
MAXHEALTH,groww_master,nifty500_master
MAZDOCK,groww_master,nifty500_master
MCX,groww_master,nifty500_master
MEDANTA,groww_master,nifty500_master
MEDPLUS,groww_master,groww_master
MEESHO,groww_master,nifty500_master
METROPOLIS,groww_master,groww_master
MFSL,groww_master,nifty500_master
MGL,groww_master,nifty500_master
MIDHANI,groww_master,groww_master
MINDACORP,groww_master,nifty500_master
MMTC,groww_master,nifty500_master
MOIL,groww_master,groww_master
MOTHERSON,groww_master,nifty500_master
MOTILALOFS,groww_master,nifty500_master
MPHASIS,groww_master,nifty500_master
MRF,groww_master,nifty500_master
MRPL,groww_master,nifty500_master
MSTCLTD,groww_master,groww_master
