symbol,week_start,open,high,low,close,volume,days,complete
INDIANB,2026-03-09,929.85,935.0,867.55,870.3,4375424,3,True
INDIANB,2026-03-16,865.0,896.9,848.65,878.65,10013846,5,True
INDIANB,2026-03-23,861.0,919.6,833.0,871.75,7701493,4,True
INDIANB,2026-03-30,855.0,890.65,835.0,869.4,5992449,3,True
INDIANB,2026-04-06,876.85,972.7,864.25,967.75,10115605,5,True
INDIANB,2026-04-13,945.0,1000.9,930.05,939.45,9622107,4,True
INDIANB,2026-04-20,944.0,955.8,895.35,909.9,12250075,5,True
INDIANB,2026-04-27,918.8,929.85,812.7,851.85,18265425,5,True
INDIANB,2026-05-04,857.95,875.0,818.35,865.55,14311921,5,True
INDIANB,2026-05-11,859.0,859.0,801.35,820.6,10532648,5,True
INDIANB,2026-05-18,811.0,832.0,803.55,825.95,9845470,5,True
INDIANB,2026-05-25,839.4,853.95,817.15,833.0,40637980,5,True
INDIANB,2026-06-01,840.25,860.95,805.85,842.05,14123181,5,True
INDIANB,2026-06-08,837.0,878.0,817.45,845.5,15160197,5,True
INDIANB,2026-06-15,858.2,884.95,846.3,870.1,6453732,5,True
INDIANB,2026-06-22,873.0,875.0,831.0,832.6,6603356,5,True
INDIANB,2026-06-29,833.0,842.4,789.5,798.95,25957935,5,True
INDIANB,2026-07-06,792.0,874.9,769.25,870.7,30512764,5,True
INDIANB,2026-07-13,868.0,871.5,816.0,832.4,12556595,5,True
INDIANB,2026-07-20,832.4,867.85,814.55,826.1,11461979,5,True
INDIANB,2026-07-27,835.0,841.3,817.75,836.5,5271294,5,True
INDIANB,2026-08-03,841.95,899.0,837.3,889.5,10596028,5,True
INDIANB,2026-08-10,889.5,903.8,873.1,894.95,7319099,5,True
INDIANB,2026-08-17,891.8,891.8,865.0,876.9,3100431,5,True
INDIANB,2026-08-24,880.0,905.0,862.0,882.4,4183705,5,True
INDIANB,2026-08-31,878.0,906.7,864.8,879.7,6695958,5,True
INDIANB,2026-09-07,868.5,869.85,835.0,853.5,5345464,4,True
INDIASHLTR,2026-03-09,705.65,718.9,673.9,689.65,381601,3,True
INDIASHLTR,2026-03-16,704.0,785.0,683.15,686.15,914376,5,True
INDIASHLTR,2026-03-23,685.0,765.0,654.5,736.9,739789,4,True
INDIASHLTR,2026-03-30,729.7,770.0,704.75,763.25,400984,3,True
INDIASHLTR,2026-04-06,755.1,800.3,748.55,774.35,640846,5,True
INDIASHLTR,2026-04-13,768.0,822.5,762.75,803.25,417243,4,True
INDIASHLTR,2026-04-20,808.0,828.85,793.7,809.7,228000,5,True
INDIASHLTR,2026-04-27,806.0,830.0,797.8,809.6,442365,4,True
INDIASHLTR,2026-05-04,825.6,858.0,808.75,836.3,849917,5,True
INDIASHLTR,2026-05-11,838.25,850.0,825.8,826.55,588465,5,True
INDIASHLTR,2026-05-18,810.6,824.05,763.1,784.75,325353,5,True
INDIASHLTR,2026-05-25,790.0,800.0,749.7,763.85,355768,5,True
INDIASHLTR,2026-06-01,764.1,788.0,736.5,756.7,229521,5,True
INDIASHLTR,2026-06-08,756.7,830.0,723.0,793.4,776364,5,True
INDIASHLTR,2026-06-15,790.0,797.15,759.9,784.35,486800,5,True
INDIASHLTR,2026-06-22,784.35,789.95,758.0,768.75,218773,5,True
INDIASHLTR,2026-06-29,769.9,797.7,755.75,789.85,601962,5,True
INDIASHLTR,2026-07-06,789.9,803.0,763.35,800.05,462294,5,True
INDIASHLTR,2026-07-13,800.2,829.25,790.85,815.35,516381,5,True
INDIASHLTR,2026-07-20,815.35,823.4,715.3,723.9,755111,5,True
INDIASHLTR,2026-07-27,724.0,738.0,708.2,726.5,785324,5,True
INDIASHLTR,2026-08-03,722.85,748.1,684.25,691.9,844684,5,True
